listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Intermittent rain,idWeatherType = Intermittent heavy rain,idWeatherType = Hail,idWeatherType = Intermittent ligth rain,idWeatherType = Snow showers,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Light showers/rain,idWeatherType = Frost,idWeatherType = Convective clouds,idWeatherType = Drizzle,idWeatherType = No information,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Rain/showers,idWeatherType = Rain and snow,idWeatherType = Cloudy (High cloud),idWeatherType = Mist,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Fog,idWeatherType = Heavy rain/showers,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Weak,classPrecInt = Strong,classPrecInt = Moderate,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.926,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.557,0.557,0.87,0.034,0.592,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.602,0.676,0.481,0.51
0.93,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.557,0.557,0.87,0.034,0.565,0.531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.573,0.692,0.481,0.51
0.526,0.0,0.514,0.643,0.215,0.839,0.624,1,0.2,0.614,0.614,0.73,0.062,0.511,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.257,0.589,0.476,0.502
0.529,0.0,0.514,0.643,0.215,0.839,0.624,1,0.2,0.614,0.614,0.73,0.062,0.558,0.512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.657,0.706,0.476,0.502
0.532,0.0,0.514,0.643,0.215,0.839,0.624,1,0.2,0.614,0.614,0.73,0.062,0.6,0.486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.33,0.678,0.476,0.502
0.535,0.0,0.514,0.643,0.215,0.839,0.624,1,0.2,0.614,0.614,0.73,0.062,0.522,0.501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.27,0.452,0.476,0.502
0.619,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.612,0.546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.523,0.488,0.165,0.502
0.621,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.562,0.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.425,0.452,0.165,0.502
0.624,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.496,0.498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.698,0.578,0.165,0.502
0.639,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.63,0.11,0.625,0.521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.541,0.538,0.165,0.502
0.642,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.63,0.11,0.594,0.538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.276,0.55,0.165,0.502
