listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Light showers/rain,idWeatherType = Mist,idWeatherType = No information,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Drizzle,idWeatherType = Rain and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Snow showers,idWeatherType = Fog,idWeatherType = Cloudy (High cloud),idWeatherType = Hail,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Frost,idWeatherType = Cloudy,idWeatherType = Rain/showers,idWeatherType = Intermittent ligth rain,idWeatherType = Rain and snow,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Convective clouds,idWeatherType = Intermittent rain,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Very,classWindSpeed = Strong,classPrecInt = No precipitation,classPrecInt = Moderate,classPrecInt = Strong,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.707,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.657,0.657,0.64,0.069,0.646,0.605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6,0.818,0.466,0.531
0.71,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.657,0.657,0.64,0.069,0.554,0.521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.434,0.915,0.466,0.531
0.448,0.0,0.514,0.643,0.215,0.839,0.624,1,0.75,0.586,0.586,0.79,0.048,0.611,0.563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.08,0.545,0.403,0.759
0.451,0.0,0.514,0.643,0.215,0.839,0.624,1,0.75,0.586,0.586,0.79,0.048,0.546,0.503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.233,0.63,0.403,0.759
0.454,0.0,0.514,0.643,0.215,0.839,0.624,1,0.75,0.586,0.586,0.79,0.048,0.533,0.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.198,0.45,0.403,0.759
0.457,0.0,0.514,0.643,0.215,0.839,0.624,1,0.75,0.586,0.586,0.79,0.048,0.633,0.542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2,0.69,0.403,0.759
0.46,0.0,0.514,0.643,0.215,0.839,0.624,1,0.75,0.586,0.586,0.79,0.048,0.696,0.638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.441,0.852,0.403,0.759
0.462,0.0,0.514,0.643,0.215,0.839,0.624,1,0.43,0.614,0.614,0.75,0.053,0.592,0.554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.081,0.411,0.403,0.759
0.465,0.0,0.514,0.643,0.215,0.839,0.624,1,0.43,0.614,0.614,0.75,0.053,0.593,0.501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.196,0.514,0.403,0.759
0.468,0.0,0.514,0.643,0.215,0.839,0.624,1,0.43,0.614,0.614,0.75,0.053,0.652,0.592,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.58,0.769,0.403,0.759
0.472,0.0,0.514,0.643,0.215,0.839,0.624,1,0.43,0.614,0.614,0.75,0.053,0.48,0.534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.198,0.596,0.403,0.759
0.474,0.0,0.514,0.643,0.215,0.839,0.624,1,0.43,0.614,0.614,0.75,0.053,0.626,0.613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.581,0.621,0.403,0.759
0.477,0.0,0.514,0.643,0.215,0.839,0.624,1,0.4,0.6,0.6,0.75,0.048,0.502,0.491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.433,0.732,0.403,0.759
