filename,length,chroma_sftf_mean,chroma_sftf_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
In The End [Official HD Music Video] - Linkin Park.mp3,3307500,0.40992963,0.08233612,0.23799323,0.00903624,2311.019003633404,464964.83593942504,2290.121209177092,219773.955775881,4625.075366135352,2063054.6022289223,0.11669936992066564,0.0024562233372509962,-3.0511028e-05,0.02980208,-0.00036193538,-0.00036193538,103.359375,-25.349226,8035.9023,93.24932,841.76624,-22.104475,529.845,24.432802,230.75404,2.8454561,186.79474,4.69137,100.56708,-0.54348344,104.03724,6.740111,144.16188,3.9813683,78.39905,5.602985,92.25414,0.4392665,74.11727,4.6390624,57.587135,-2.861795,56.465736,-0.5293801,81.19704,-3.9695385,44.47441,1.0241256,53.635044,-3.784899,40.919388,1.732264,50.263805,-2.071043,35.86581,2.4450436,42.62017
Its OK LIVE - Nightbirde.mp3,3307500,0.27156627,0.08892731,0.11037828,0.0037950699,1090.9745938106048,578616.0737920123,1423.4498257903954,607825.9251927922,2031.3410500919117,3222345.8204246354,0.04716932928599071,0.0011161372665224134,-2.9994956e-06,0.011300375,-1.1895314e-05,-1.1895314e-05,117.45383522727273,-241.62245,11136.622,160.047,1899.3118,11.701843,969.53094,15.96001,370.7243,3.2792943,212.91055,-2.0836313,181.89424,-2.3703024,113.37411,-8.456467,102.68945,-5.640108,100.5619,-10.710852,86.63729,-2.043103,81.01726,-12.054716,89.8812,-5.9457126,71.63591,-6.5374236,61.420155,-8.33019,69.55316,-6.777937,62.670975,-8.55678,80.291885,-4.4354544,81.40029,-8.4068775,79.83293,-4.112023,155.99263
James Arthur - Say You Won't Let Go.mp3,3307500,0.2818267,0.09061937,0.17539817,0.0048033483,1773.468339984278,746514.1963011777,2219.6181367938616,338210.21373367816,3680.4627447453076,4352636.665630097,0.07105157338428793,0.0026067407434288707,-2.1404894e-06,0.022296868,-1.0214219e-05,-1.0214219e-05,129.19921875,-130.41376,6357.1045,118.954315,1405.087,7.3514977,386.29678,8.040148,266.3017,16.346828,221.13206,10.784354,142.6637,-9.430932,159.16754,3.4761524,132.72466,-5.492927,150.38237,-0.452895,89.76957,-3.6576414,98.4983,0.6293764,104.06411,-4.2929454,97.33643,-2.8669562,83.2772,-4.1564684,76.95123,-3.5249982,76.88364,-7.851017,86.89918,-1.2322,84.24584,-6.0455446,79.41472,-7.241676,117.88452
John Legend - All of Me (Official Video).mp3,3307500,0.22641385,0.088404894,0.17297137,0.0046120794,1815.4739331735123,655847.8246124253,2106.947832361836,408516.3840397863,3776.8371619823915,3888861.096657997,0.0728616153492647,0.001828174128317047,1.3110575e-06,0.028261427,-5.692124e-06,-5.692124e-06,123.046875,-152.05075,6571.027,109.09108,1746.8677,-0.28686774,455.57303,8.750987,288.9553,-3.7741704,338.53296,-6.302669,172.74194,-20.890333,151.88339,-10.575973,116.90849,-21.725288,108.44011,-8.945476,97.490906,-9.142812,100.348625,-8.339387,89.51364,-12.045904,94.57238,-7.9249105,91.0742,-5.1154885,90.725975,-3.2324238,110.43731,-13.844421,109.30051,-1.8434212,122.79614,-0.13192853,124.09935,0.5052443,111.44204
Katy Perry - Dark Horse ft. Juicy J.mp3,3307500,0.41658467,0.0960084,0.12743507,0.0028383404,2132.9864620280296,666852.7823545455,2512.8286972302953,230522.05754659057,4693.771617405186,3543697.197477259,0.07307537067047214,0.0036831062644113624,-2.8818183e-06,0.015375992,-1.5150281e-06,-1.5150281e-06,129.19921875,-156.32234,6128.6772,92.506096,874.68933,2.6843321,514.03894,21.096567,350.49597,16.01706,316.32706,9.36927,201.63483,2.5518696,181.85963,7.424022,202.68092,7.5232353,164.50777,5.4251018,169.3267,-2.6076336,135.26207,7.325263,101.124664,1.6709865,120.79015,9.39298,102.996796,3.39143,77.34998,2.9835832,87.84845,0.5267869,73.886665,-3.758451,100.86518,-3.2081532,78.60236,5.640274,96.1649
Keane - Somewhere Only We Know (Official Music Video).mp3,3307500,0.33581713,0.08647487,0.24965459,0.008724848,2229.3754230314953,722056.174879662,2522.5861439625214,249957.6298268484,4782.534414002032,3378336.9307384593,0.08511936435758514,0.0029044225096187246,5.3308304e-07,0.049284842,1.9655961e-05,1.9655961e-05,172.265625,-52.93003,6572.4546,97.502266,1059.6467,-1.5875653,387.2501,18.84242,226.6996,11.054229,145.2774,3.2192924,164.03558,0.87107843,98.23311,0.112838626,130.58621,-7.1149178,107.388306,0.342147,95.64344,-6.1021934,96.67484,2.4015326,70.85085,-4.5673046,98.73884,-0.79993474,62.437286,-1.6745307,53.80832,0.23360758,54.595863,-0.095617056,56.94165,0.9826695,59.49051,-4.3976455,54.188305,-4.44287,56.21652
Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,3307500,0.55341524,0.07299122,0.13480581,0.0016641589,2537.928254948025,1178051.576006525,2745.0023611872534,494002.24586621334,5843.3679992864745,5307993.745815263,0.08273237954721362,0.004851582857407705,1.1283324e-06,0.012431586,-7.164421e-07,-7.164421e-07,151.99908088235293,-118.42838,12156.628,79.496605,1162.1707,14.049366,420.67633,17.505957,222.14873,13.525752,157.49301,13.544174,127.60648,8.762921,84.98121,15.583397,56.65686,1.5927008,79.89644,11.066757,77.991875,4.8488216,46.723537,6.69365,42.051914,3.546847,36.819626,5.8400316,36.71829,0.7329586,35.005203,5.5395184,30.467632,-0.48044154,32.271885,4.230019,32.474182,0.7303649,34.955585,5.1954284,41.555687
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).mp3",3307500,0.33120945,0.089655265,0.1073706,0.0034326813,2252.436910308814,865468.8126832967,2466.6053588043096,391909.0859323454,4985.04485611576,4803830.254490679,0.09307094136996905,0.004006374061023652,-1.4772518e-06,0.011856459,-2.2771026e-05,-2.2771026e-05,95.703125,-153.44164,6537.0933,99.19807,1086.234,-9.927605,689.34235,0.32012415,245.73875,3.5419264,257.4001,6.323574,219.54288,4.324032,107.75268,12.285156,126.05305,-1.6128082,108.590805,6.186979,153.77545,-4.2398434,110.269745,-1.1957798,92.96068,-5.673778,76.16657,-1.1263916,93.22891,-6.4411135,119.8269,-4.050262,118.04468,-8.166172,98.50661,-1.4569827,105.34139,-6.325645,99.55042,-2.5002098,98.596016
Lewis Capaldi - Someone You Loved.mp3,3307500,0.25648594,0.08692188,0.19736333,0.0060873996,1932.6446104084555,1324837.7357520661,2066.036766224807,566850.3503042798,3928.03124773244,5442498.01063868,0.08902667255224458,0.00517127487387943,1.9234262e-06,0.03349221,3.390284e-05,3.390284e-05,112.34714673913044,-127.39269,10999.851,114.7072,2728.3572,16.233845,607.97015,17.309793,277.1635,0.65929276,211.8992,8.324493,175.41245,-14.149916,199.45943,9.443894,137.32385,-6.811376,137.90631,-6.738589,101.69123,2.0589185,141.91756,-4.6910305,95.00375,-2.8137524,76.64231,-1.9927242,90.83018,-1.2359167,84.43262,-1.7876811,93.00566,-10.770772,113.40018,2.6912262,141.92636,-2.9391677,115.40952,-0.70988715,154.00247
Lewis Capaldi - Wish You The Best (Official Video).mp3,3307500,0.25496417,0.086415045,0.2852484,0.010008417,2606.462804110798,1829393.8159337486,2575.8287757301778,804699.2932705688,5665.692406999807,7131620.187053829,0.10797810746420279,0.007578814136409395,4.5364305e-07,0.06805207,-5.441752e-06,-5.441752e-06,107.666015625,-68.475204,10515.899,89.38976,2787.6304,19.858234,605.27454,13.167057,353.07867,15.937425,183.19539,10.964555,169.01965,-7.496948,165.96956,6.5089583,116.262924,-10.855978,174.18608,-0.8374843,89.61635,-3.1595533,115.69882,-5.1887345,75.74157,-4.1619353,80.871864,-8.072045,92.64826,-7.0595846,73.6286,-5.0057335,78.61153,-12.412685,94.86114,-0.7157871,108.75898,-3.3325973,87.370735,-0.7304415,106.67694
