listenedAt,rated_emotion,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Cloudy (High cloud),idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Frost,idWeatherType = Rain and thunderstorms,idWeatherType = Intermittent ligth rain,idWeatherType = Light rain,idWeatherType = Intermittent rain,idWeatherType = Snow showers,idWeatherType = Cloudy,idWeatherType = Rain and snow,idWeatherType = Showers/rain,idWeatherType = Fog,idWeatherType = Snow,idWeatherType = No information,idWeatherType = Rain/showers,idWeatherType = Thunderstorms,idWeatherType = Hail,idWeatherType = Light showers/rain,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Cloudy ,idWeatherType = Mist,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Drizzle,idWeatherType = Convective clouds,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.351,0.793|0.31,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.558,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.531,0.587,0.177,0.831
0.351,-0.85|-0.321,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.676,0.647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.118,0.556,0.177,0.831
0.352,0.752|0.214,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.556,0.532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.523,0.652,0.177,0.831
0.352,0.12|-0.134,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.612,0.546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.424,0.473,0.177,0.831
0.353,0.126|0.072,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.572,0.511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.382,0.627,0.171,0.786
0.354,-0.795|0.521,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.527,0.514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.131,0.646,0.171,0.786
0.357,0.794|0.257,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.655,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.533,0.666,0.341,0.704
0.403,0.125|0.064,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.86,18.0,21.0,0.021,0.51,0.546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.402,0.521,0.179,0.839
0.404,0.784|0.291,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.86,18.0,21.0,0.021,0.67,0.606,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.585,0.615,0.179,0.839
0.408,0.863|0.258,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.85,18.0,21.0,0.021,0.574,0.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.701,0.734,0.307,0.84
0.433,0.125|0.017,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.556,0.542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.365,0.644,0.502,0.502
0.433,0.012|0.895,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.618,0.588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.631,0.741,0.502,0.502
0.434,0.843|0.352,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.78,20.0,25.0,0.021,0.502,0.491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.88,0.588,0.84,0.5
0.437,0.793|0.25,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.594,0.582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.728,0.567,0.492,0.509
0.437,0.689|0.455,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.525,0.552,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.67,0.615,0.492,0.509
0.438,0.725|0.152,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.544,0.364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.513,0.611,0.492,0.509
0.438,0.842|0.254,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.652,0.592,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.541,0.731,0.492,0.509
0.438,0.897|0.431,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.576,0.598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.557,0.764,0.492,0.509
